,view_id,view,crypto,accuracy_down,accuracy_neutral,accuracy_up,precision_down,precision_neutral,precision_up,recall_down,recall_neutral,recall_up,f1_down,f1_neutral,f1_up,exec_time,learning_rate,max_iter,max_leaf_nodes
78,B,candles-HOUBI,DOT,0.0,1.0,0.0,0.0,0.8780911364267853,0.0,0.0,1.0,0.0,0.0,0.9350889521766468,0.0,47.7432279586792,0.001,150.0,10.0
79,B,candles-HOUBI,DOT,0.0,1.0,0.0,0.0,0.8780911364267853,0.0,0.0,1.0,0.0,0.0,0.9350889521766468,0.0,134.88520097732544,0.001,150.0,100.0
80,B,candles-HOUBI,NEO,0.0100778744846541,0.9979148287753627,0.025842178126442,0.4150943396226415,0.8992122949437525,0.2931937172774869,0.0100778744846541,0.9979148287753627,0.025842178126442,0.0196779964221824,0.9459959452610236,0.0474978795589482,14.054293155670166,0.5,50.0,10.0
81,B,candles-HOUBI,NEO,0.0242785158039395,0.996284117945839,0.025842178126442,0.3011363636363636,0.9003672207189796,0.2962962962962963,0.0242785158039395,0.996284117945839,0.025842178126442,0.0449342941924544,0.945900328684374,0.0475382003395585,15.90056300163269,0.5,50.0,100.0
82,B,candles-HOUBI,NEO,0.0100778744846541,0.9979148287753627,0.025842178126442,0.4150943396226415,0.8992122949437525,0.2931937172774869,0.0100778744846541,0.9979148287753627,0.025842178126442,0.0196779964221824,0.9459959452610236,0.0474978795589482,14.146680116653442,0.5,150.0,10.0
83,B,candles-HOUBI,NEO,0.0242785158039395,0.996284117945839,0.025842178126442,0.3011363636363636,0.9003672207189796,0.2962962962962963,0.0242785158039395,0.996284117945839,0.025842178126442,0.0449342941924544,0.945900328684374,0.0475382003395585,15.934826850891112,0.5,150.0,100.0
84,B,candles-HOUBI,NEO,0.0,1.0,0.0,0.0,0.8958258495581579,0.0,0.0,1.0,0.0,0.0,0.9450507806578748,0.0,21.59906816482544,0.001,50.0,10.0
85,B,candles-HOUBI,NEO,0.0,1.0,0.0,0.0,0.8958258495581579,0.0,0.0,1.0,0.0,0.0,0.9450507806578748,0.0,48.795387744903564,0.001,50.0,100.0
86,B,candles-HOUBI,NEO,0.0,1.0,0.0,0.0,0.8958258495581579,0.0,0.0,1.0,0.0,0.0,0.9450507806578748,0.0,45.268186807632446,0.001,150.0,10.0
87,B,candles-HOUBI,NEO,0.0,1.0,0.0,0.0,0.8958258495581579,0.0,0.0,1.0,0.0,0.0,0.9450507806578748,0.0,127.56747817993164,0.001,150.0,100.0
